상품번호,이름,연식,주행거리,차량번호,지역,현재가격,원래가격,할인금액,최초등록,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,변속기,압류,저당,내차피해,소유자 변경,옵션정보,배터리 용량(kWh),축전지 정격전압/용량(v/Ah),최고출력(kW),최대토크(Nm),복합(km/kWh),도심(km/kWh),고속도로(km/kWh)
HTM241125010688,2022 싼타페(TM) 하이브리드 2WD 7인승 익스클루시브,2021년,"39,840km",345마4919,양산,"3,000
만원",,,2021.11.09,하이브리드,"1,598cc",크리미 화이트 펄,블랙모노톤,SUV,7인승,2WD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동 시트 (운전석)': '미포함', '가죽 시트': '미포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '미포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '미포함', '전방 주차거리 경고': '포함'}",,,,,,,
HLX240913008920,2021 팰리세이드(LX2) 가솔린 3.8 2WD 7인승 캘리그래피,2021년,"33,006km",171노8412,용인,"3,490
만원",,,2021.01.10,가솔린,"3,778cc",크리미 화이트 펄,카키 모노톤,SUV,7인승,2WD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJK240801008035,2023 GV70 가솔린 2.5 터보 AWD 스포츠 디자인 셀렉션Ⅱ,2022년,"11,106km",200조4560,용인,"5,380
만원","5,530
만원","150
만원 할인",2022.07.26,가솔린,"2,497cc",비크 블랙,옵시디언블랙/세비야레드투톤,SUV,5인승,AWD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HTM240927009101,2021 싼타페(TM) 디젤 2.2 2WD 7인승 프리미엄,2020년,"23,900km",112보9419,양산,"2,580
만원",,,2020.09.07,디젤,"2,151cc",크리미 화이트 펄,블랙모노톤,SUV,7인승,2WD,자동 (DCT),없음,없음,없음,있음,"{'내비게이션': '미포함', '하이패스': '미포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동 시트 (운전석)': '미포함', '가죽 시트': '미포함', '전동식 트렁크': '미포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX240920008997,2021 GV80 디젤 3.0 AWD 5인승 시그니처 디자인 셀렉션Ⅱ,2021년,"85,924km",112보9418,양산,"5,170
만원","5,370
만원","200
만원 할인",2021.03.17,디젤,"2,996cc",카본 메탈,브라운/스모키그린 투톤(올리브 애쉬),SUV,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJK241129010764,2023 GV70 가솔린 2.5 터보 2WD 시그니처 디자인 셀렉션Ⅰ,2023년,"18,238km",345마4930,양산,"4,990
만원",,,2023.06.29,가솔린,"2,497cc",우유니 화이트,하바나 브라운,SUV,5인승,2WD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ241004009410,2021 G80 가솔린 2.5 터보 2WD 시그니처 디자인 셀렉션Ⅰ,2020년,"68,146km",246부6778,용인,"3,930
만원",,,2020.09.07,가솔린,"2,497cc",우유니 화이트,포레스트 블루,승용,5인승,2WD,자동,없음,없음,2건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HLX240729008018,2023 팰리세이드(LX2) 가솔린 3.8 AWD 7인승 캘리그래피,2022년,"25,721km",256부1012,용인,"4,230
만원","4,530
만원","300
만원 할인",2022.07.21,가솔린,"3,778cc",크리미 화이트 펄,네이비/웜그레이 투톤,SUV,7인승,AWD,자동,없음,없음,3건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HTM240704007370,2023 싼타페(TM) 가솔린 2.5 2WD 6인승 캘리그래피,2023년,"12,496km",234가5746,양산,"3,730
만원","3,880
만원","150
만원 할인",2023.05.24,가솔린,"2,497cc",크리미 화이트 펄,카멜,SUV,6인승,2WD,자동 (DCT),없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ241022009773,2022 G80 가솔린 2.5 터보 2WD 시그니처 디자인 셀렉션Ⅰ,2021년,"38,782km",328모7984,양산,"4,740
만원",,,2021.08.24,가솔린,"2,497cc",우유니 화이트,하바나 브라운,승용,5인승,2WD,자동,없음,없음,2건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJK240227004186,2021 GV70 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅰ,2021년,"45,344km",344나2028,양산,"5,210
만원","5,760
만원","550
만원 할인",2021.01.27,가솔린,"2,497cc",비크 블랙,바닐라베이지투톤,SUV,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX241111010402,2022 GV80 가솔린 2.5 터보 AWD 6인승 시그니처 디자인 셀렉션Ⅱ,2022년,"9,721km",122주6565,양산,"6,650
만원",,,2022.11.14,가솔린,"2,497cc",카디프 그린,브라운/스모키그린 투톤(블랙 애쉬),SUV,6인승,AWD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240905008747,2021 G80 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅱ,2020년,"74,525km",287라2812,용인,"4,270
만원","4,520
만원","250
만원 할인",2020.07.29,가솔린,"2,497cc",세빌 실버,블랙모노톤(애쉬 메탈릭 그라데이션),승용,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX241119010578,2023 GV80 가솔린 2.5 터보 AWD 5인승 시그니처 디자인 셀렉션Ⅱ,2023년,"36,446km",345마4935,양산,"6,430
만원",,,2023.10.31,가솔린,"2,497cc",비크 블랙,블루/듄 베이지 투톤(버취),SUV,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HIG240926009074,2020 그랜저(IG) 가솔린 2.5 익스클루시브,2020년,"12,105km",337어3880,용인,"3,200
만원",,,2020.06.16,가솔린,"2,497cc",옥스퍼드 블루 메탈릭,브라운,승용,5인승,2WD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJK240812008192,2023 GV70 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅱ,2023년,"18,697km",361나8530,용인,"5,700
만원","5,850
만원","150
만원 할인",2023.06.08,가솔린,"2,497cc",카디프 그린,바닐라베이지투톤,SUV,5인승,AWD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJP240311004489,2023 G90 가솔린 3.5 터보 AWD 5인승 시그니처 디자인 셀렉션,2023년,"5,394km",156우7857,양산,"9,920
만원","11,020
만원","1,100
만원 할인",2023.01.17,가솔린,"3,470cc",비크 블랙,블랙/브라운(뉴스페이퍼 크라운),승용,5인승,AWD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HIG240902008675,2022 그랜저(IG) 하이브리드 르블랑,2021년,"42,325km",144모8915,양산,"3,200
만원","3,300
만원","100
만원 할인",2021.08.22,하이브리드,"2,359cc",옥스퍼드 블루 메탈릭,블랙/베이지(베이지시트),승용,5인승,2WD,자동,없음,없음,2건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HDN240924009049,2021 쏘나타(DN8) 가솔린 2.0 프리미엄,2021년,"13,247km",124로3570,용인,"2,210
만원","2,410
만원","200
만원 할인",2021.05.24,가솔린,"1,999cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선 시트 (1열)': '포함', '통풍 시트 (운전석)': '미포함', '전동 시트 (운전석)': '포함', '가죽 시트': '미포함', '전동식 트렁크': '미포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '미포함'}",,,,,,,
HGN240913008963,2023 그랜저(GN7) 하이브리드 2WD 캘리그래피,2023년,"14,768km",153누6790,양산,"4,590
만원","4,790
만원","200
만원 할인",2023.03.15,하이브리드,"1,598cc",어비스블랙펄,브라운베이지투톤(캘리그래피),승용,5인승,2WD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HLX240902008694,2023 팰리세이드(LX2) 디젤 2.2 2WD 8인승 캘리그래피,2022년,"37,741km",107누4235,양산,"4,320
만원","4,570
만원","250
만원 할인",2022.08.15,디젤,"2,199cc",크리미 화이트 펄,브라운,SUV,8인승,2WD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240502005791,2021 G80 가솔린 2.5 터보 2WD 시그니처 디자인 셀렉션Ⅱ,2020년,"30,001km",224러6249,양산,"4,500
만원","4,950
만원","450
만원 할인",2020.06.03,가솔린,"2,497cc",비크 블랙,블랙모노톤(애쉬 메탈릭 그라데이션),승용,5인승,2WD,자동,없음,없음,1건,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HGN241014009623,2023 그랜저(GN7) 가솔린 2.5 2WD 캘리그래피,2023년,"4,376km",249조9107,군산,"4,590
만원",,,2023.11.05,가솔린,"2,497cc",세레니티 화이트 펄,인디고/브라운투톤(캘리그래피),승용,5인승,2WD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ241216011046,2021 G80 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅱ,2020년,"53,310km",173가9113,양산,"4,140
만원",,,2020.11.03,가솔린,"2,497cc",그레이스풀그레이,듄 베이지(애쉬칼라 그라데이션),승용,5인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ241028009991,2021 G80 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅰ,2020년,"56,421km",237노7531,용인,"4,450
만원",,,2020.04.26,가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HTM241126010700,2023 싼타페(TM) 하이브리드 2WD 5인승 프레스티지,2022년,"8,863km",151수8800,양산,"3,690
만원",,,2022.11.16,하이브리드,"1,598cc",크리미 화이트 펄,블랙모노톤,SUV,5인승,2WD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '미포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX241015009644,2023 GV80 디젤 3.0 AWD 6인승 시그니처 디자인 셀렉션Ⅱ,2023년,"14,552km",260루1124,양산,"7,720
만원",,,2023.06.26,디젤,"2,996cc",마칼루 그레이 (무광),브라운/베이지 투톤(메탈릭 포어 필),SUV,6인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HIG241014009557,2023 그랜저(IG) 하이브리드 르블랑,2022년,"27,858km",228너7031,용인,"3,550
만원","3,650
만원","100
만원 할인",2022.07.21,하이브리드,"2,359cc",어비스블랙펄,블랙모노톤,승용,5인승,2WD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HIG241021009722,2020 그랜저(IG) 가솔린 2.5 프리미엄 초이스,2020년,"36,158km",396무4621,군산,"2,550
만원",,,2020.06.01,가솔린,"2,497cc",크리미 화이트 펄,블랙모노톤,승용,5인승,2WD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '미포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '미포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ241029010005,2021 G80 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅱ,2021년,"36,639km",184모8838,양산,"5,190
만원",,,2021.03.10,가솔린,"2,497cc",우유니 화이트,포레스트 블루(애쉬 칼라 그라데이션),승용,5인승,AWD,자동,없음,없음,1건,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ241211011011,2023 G80 가솔린 2.5 터보 AWD 스탠다드 디자인,2022년,"37,439km",228고8997,용인,"4,990
만원",,,2022.12.19,가솔린,"2,497cc",비크 블랙,블랙모노톤,승용,5인승,AWD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJU241121010614,2022 G70 가솔린 3.3 터보 AWD 스포츠 스탠다드 디자인,2021년,"41,322km",166서1193,군산,"3,570
만원",,,2021.11.10,가솔린,"3,342cc",비크 블랙,블랙/그레이 투톤(그레이시트),승용,5인승,AWD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240628007185,2022 G80 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅰ,2021년,"19,819km",174어5651,용인,"4,910
만원","5,110
만원","200
만원 할인",2021.07.07,가솔린,"2,497cc",그레이스풀그레이,포레스트 블루,승용,5인승,AWD,자동,없음,없음,2건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX241021009739,2020 GV80 가솔린 2.5 터보 AWD 5인승 스탠다드 디자인,2020년,"34,433km",107구7757,양산,"5,500
만원",,,2020.09.27,가솔린,"2,497cc",비크 블랙,블랙모노톤,SUV,5인승,AWD,자동,없음,없음,1건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
