상품번호,이름,연식,주행거리,차량번호,지역,현재가격,원래가격,할인금액,최초등록,연료,배기량,외관컬러,내장컬러,차종,승차인원,구동방식,변속기,압류,저당,내차피해,소유자 변경,옵션정보,배터리 용량(kWh),축전지 정격전압/용량(v/Ah),최고출력(kW),최대토크(Nm),복합(km/kWh),도심(km/kWh),고속도로(km/kWh)
GJX241118010497,2022 GV80 가솔린 2.5 터보 AWD 5인승 시그니처 디자인 셀렉션Ⅰ,2022년,"16,002km",213노3582,양산,"5,850
만원",,,2022.10.30,가솔린,"2,497cc",우유니 화이트,바닐라베이지투톤,SUV,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HLX240826008524,2023 팰리세이드(LX2) 디젤 2.2 2WD 8인승 프레스티지,2022년,"20,202km",354어7985,양산,"4,000
만원","4,250
만원","250
만원 할인",2022.08.08,디젤,"2,199cc",크리미 화이트 펄,블랙모노톤,SUV,8인승,2WD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동 시트 (운전석)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ241002009363,2022 G80 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅱ,2021년,"19,495km",115버3034,용인,"5,550
만원",,,2021.08.19,가솔린,"2,497cc",우유니 화이트,하바나 브라운(올리브 애쉬),승용,5인승,AWD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240827008534,2022 G80 가솔린 2.5 터보 AWD 시그니처 디자인 셀렉션Ⅰ,2022년,"18,223km",142너7091,군산,"5,240
만원","5,490
만원","250
만원 할인",2022.08.22,가솔린,"2,497cc",마칼루 그레이 (무광),블랙모노톤,승용,5인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HGN240724007943,2023 그랜저(GN7) 하이브리드 2WD 캘리그래피,2023년,"35,205km",176조4313,양산,"4,390
만원","4,640
만원","250
만원 할인",2023.02.01,하이브리드,"1,598cc",녹턴 그레이 메탈릭,브라운베이지투톤(캘리그래피),승용,5인승,2WD,자동,없음,없음,4건,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240904008728,2022 G80 가솔린 2.5 터보 AWD 스포츠 디자인 셀렉션,2022년,"19,124km",161버9595,양산,"6,110
만원",,,2022.06.26,가솔린,"2,497cc",우유니 화이트,옵시디언블랙/세비야레드투톤,승용,5인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
HDN240705007388,2021 쏘나타(DN8) 하이브리드 프리미엄 밀레니얼,2020년,"19,554km",152저8638,양산,"2,680
만원","2,880
만원","200
만원 할인",2020.06.11,하이브리드,"1,999cc",녹턴 그레이 메탈릭,블랙모노톤,승용,5인승,2WD,자동,없음,없음,없음,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선 시트 (1열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '미포함', '선루프': '미포함', '헤드업 디스플레이': '미포함', '서라운드 뷰 모니터': '미포함', '후방 모니터': '포함', '후측방 경보 시스템': '미포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '미포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJJ240705007378,2021 G80 가솔린 3.5 터보 AWD 스탠다드 디자인,2021년,"63,686km",152저8613,양산,"4,100
만원","4,350
만원","250
만원 할인",2021.02.14,가솔린,"3,470cc",비크 블랙,블랙모노톤,승용,5인승,AWD,자동,없음,없음,1건,있음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열)': '포함', '전동시트(1열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX241107010288,2024 GV80 가솔린 3.5 터보 AWD 5인승 시그니처 디자인 셀렉션Ⅱ,2023년,"9,462km",155마6644,양산,"8,040
만원",,,2023.11.26,가솔린,"3,470cc",마테호른 화이트(무광),스모키그린/어스브라운/뉴스페이퍼,SUV,5인승,AWD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
GJX241111010386,2022 GV80 가솔린 2.5 터보 2WD 7인승 시그니처 디자인 셀렉션Ⅱ,2021년,"46,617km",196보1344,군산,"5,790
만원",,,2021.10.19,가솔린,"2,497cc",우유니 화이트,브라운/스모키그린 투톤(올리브 애쉬),SUV,7인승,2WD,자동,없음,없음,없음,없음,"{'내비게이션': '포함', '하이패스': '포함', '열선 스티어링 휠': '포함', '열선시트(1열/2열)': '포함', '통풍시트(1열/2열)': '포함', '전동시트(1열/2열)': '포함', '가죽 시트': '포함', '전동식 트렁크': '포함', '선루프': '미포함', '헤드업 디스플레이': '포함', '서라운드 뷰 모니터': '포함', '후방 모니터': '포함', '후측방 경보 시스템': '포함', '차선 이탈 경보': '포함', '스마트 크루즈 컨트롤': '포함', '전방 주차거리 경고': '포함'}",,,,,,,
